word;tag
а;0
абзац;0
абортмахер;1
абсолютно;0
ава;0
авария;0
аватар;0
аватарка;0
август;0
австрия;0
авто;0
автобус;0
автограф;0
автомат;0
автомобиль;0
автор;0
автошкола;0
ага;0
ад;0
адвокат;0
адекватный;0
адища;1
адище;1
админ;0
адовый;1
адрес;0
адски;0
адский;0
аж;0
ай;0
айпад;0
айфон;0
академия;0
аккаунт;0
аккумулятор;0
аккуратный;0
активно;0
активность;0
активный;0
актриса;0
актуальный;0
актёр;0
акция;0
алгебра;0
алекс;0
александр;0
алина;0
алиса;0
алкаш;1
алкашка;1
алкашный;1
алкашня;1
алкашонка;1
алкоголик;1
алкоголичка;1
алкоголь;0
алконавт;1
аллергия;0
альбом;0
алёна;0
америка;0
американец;0
американский;0
америкос;1
амнистия;0
анал;1
анализ;0
аналоварашитель;1
аналог;0
аналогично;0
аналодолб;1
аналодолбильный;1
аналозаливчатый;1
аналоканальный;1
аналолизька;1
аналомойщик;1
аналорезальщик;1
аналосуйкоеловый;1
анальчик;1
ананас;0
анатомия;0
ангел;0
ангина;0
английский;0
англия;0
андрей;0
андроид;0
анекдот;0
аниме;0
анна;0
аноним;0
анорексичка;1
антилейка;1
антихрист;1
антон;0
анус;1
анька;0
аня;0
апдейт;0
апельсин;0
аппарат;0
аппетит;0
апрель;0
аптека;0
аптряй;1
аргумент;0
арин;0
армия;0
арт;0
артур;0
артём;0
архамудия;1
ассоциация;0
ассоциироваться;0
асфальт;0
аська;0
ася;0
атмосфера;0
аудитория;0
аура;0
афанареть;1
афганистан;0
афедрон;1
афигел;1
афигенный;1
афигенский;1
афигесть;1
афигеть;1
афигительный;1
африка;0
ах;0
ахеренно;1
ахересть;1
ахереть;1
ахерить;1
ахинея;1
ахиренно;1
ахиренный;1
ахиреть;1
ахламон;1
ахреневать;1
ахренела;1
ахрененные;1
ахренивать;1
ахренительный;1
ахринель;1
ахриненный;1
ахринеть;1
ахриплосуй;1
ахулела;1
ахулиард;1
ахулиарда;1
ахуэнный;1
ахуєть;1
ашан;0
ащеул;1
аэропорт;0
б;0
баба;0
бабища;1
бабка;0
бабло;0
бабник;1
бабочка;0
бабулька;0
бабуля;0
бабушка;0
бавария;0
баг;0
база;0
баинька;0
байн;0
баклан;1
бал;0
балабол;1
баламошка;1
баламут;1
баланс;0
балахвост;1
балахрыска;1
балбес;1
балбеска;1
балда;1
балдабей;1
балкон;0
балл;0
балобольник;1
баляба;1
банальная;1
банально;1
банальный;1
банан;0
бандит;1
бандюга;1
бандюган;1
банк;0
банкомат;0
баня;0
бар;0
баран;0
баран;1
барановский;0
барахло;1
бардак;1
бармаглот;1
барнабаш;1
барс;0
барыг;1
барыга;1
бас;0
басалай;1
баскетбол;0
басран;1
бассейн;0
батарейка;0
батарея;0
батя;0
бац;0
башибузук;1
башка;1
бег;0
бегать;0
бегемот;0
бегом;0
беда;0
бедненький;0
бедножопый;1
бедный;0
бедняга;0
бедняжка;0
бедро;0
бежать;0
без;0
безалаберная;1
безалаберный;1
безвкусие;1
безвкусица;1
безвкусная;1
безвкусно;1
безвкусное;1
безвкусный;1
безвольный;1
безграмотный;1
бездарем;1
бездарность;1
бездарный;1
бездарь;1
безделье;0
бездельник;1
бездомный;0
безжопая;1
беззубый;1
безмозглый;1
безмудый;1
безнадёжный;0
безногий;1
безобразник;1
безопасность;0
безответно;0
безпелюха;1
безразличный;0
безрукий;1
безсоромна;1
безстыдник;1
безумец;1
безумие;0
безумно;0
безумный;1
безысходность;0
бел;0
беларусь;0
белебеня;1
белка;0
белорусский;0
белые;0
белый;0
беляев;0
берег;0
беременный;0
беречь;0
беркут;0
берлин;0
бесвкусица;1
беседа;0
бесить;0
беситься;0
бесконечно;0
бесконечный;0
бесноватая;1
бесноватый;1
беспалевный;1
беспиздая;1
бесплатно;0
бесплатный;0
беспокоиться;0
бесполезно;0
бесполезный;1
беспонтовый;1
беспризорник;1
бессекельная;1
бессердечный;1
бессмысленно;0
бессмысленный;0
бессовестно;1
бессоница;0
бессонница;0
бессонный;0
бесстыдник;1
бесстыжая;1
бесстыжий;1
бестактно;1
бестия;1
бестолковый;1
бестолочь;1
бестыжий;1
бесхребетная;1
бесхребетный;1
бесценный;0
бесчеловечный;1
бесчувственная;1
бесчувственный;1
бесчувствинный;1
бесшабашная;1
бесшабашный;1
бесявый;1
бесячий;1
бешанюганный;1
бешеная;1
бешенство;1
бешеный;1
бздение;1
бздеть;1
бздех;1
бздецы;1
бздея;1
бздит;1
бздительность;1
бздительный;1
бздицы;1
бздло;1
бзднуть;1
бздун;1
бздуне;1
бздуний;1
бздунья;1
бздыкать;1
бздюмо;1
бздюх;1
бздюха;1
бздюшка;1
бздюшко;1
бзыря;1
биатлон;0
бибер;0
библиотека;0
бизнес;0
бикса;1
билайн;0
билан;0
билет;0
билл;0
био;0
биология;0
биомасса;1
битва;0
битоцелка;1
битый;0
бить;0
биться;0
бич;1
бичаркин;1
бичевский;1
бичез;1
бичекровянной;1
бичих;1
биш;0
благо;0
благодарить;0
благодаря;0
благополучно;0
блатной;1
блеа;0
блеать;1
блеван;1
блеванула;1
блевать;1
блевашка;1
блевота;1
блевотина;1
блевотный;1
блевотня;1
блевушник;1
блежник;1
близкие;0
близкий;0
близко;0
блин;1
блиннский;1
блинский;1
блинчик;0
блог;0
блок;0
блокировать;0
блокнот;0
блондинка;0
блоховник;1
блоцелиновый;1
блть;1
блудилище;1
блудливый;1
блудоум;1
блювотина;1
блюет;1
блюёт;1
блядво;1
блядеха;1
боб;0
бобыня;1
бог;0
богатый;0
богомерзкая;1
богомерзкий;1
богомерзкое;1
богохулка;1
богохульник;1
богохульный;1
боевой;0
божедурье;1
божественный;0
божечка;0
божий;0
бой;0
бок;0
бокал;0
болван;1
болванка;1
болдырь;1
более;0
болезнь;0
болеть;0
болончатогниловатый;1
болохыга;1
болсон;0
болт;0
болтать;0
болтун;1
боль;0
больница;0
больничка;0
больничный;0
больно;0
больной;0
большежахнубский;1
больший;0
большинство;0
большой;0
болячка;0
бомба;0
бомбануть;0
бомбить;0
бомж;1
бомжара;1
бомжарская;1
бомжарский;1
бомжарское;1
бомжатник;1
бомжевание;1
бомжевать;1
бомжесосальщик;1
бомжесущность;1
бомжефон;1
бомжешапка;1
бомжик;1
бомжиха;1
бональный;1
борд;0
бордак;1
борделен;1
бордель;1
борзая;1
борзой;1
борзота;1
борода;0
бороться;0
борщ;0
борьба;0
босс;0
босяк;1
бот;0
ботинок;0
боулинг;0
бошка;1
бояться;0
браво;0
брак;0
брандахлыст;1
браный;1
браслет;0
брат;0
братан;0
братик;0
братишка;0
брать;0
браться;0
браузер;0
бред;0
бредкий;1
бредни;1
бредовый;1
бредомразный;1
бредотен;1
брежнев;0
брезгливый;1
брехло;1
бро;0
бровь;0
бродяга;1
бросать;0
бросить;0
брыдлый;1
брюзга;1
будильник;0
будить;0
будни;0
будущее;0
будущий;0
буква;0
буквально;0
букет;0
булка;0
булочка;0
бум;0
бумага;0
бумажка;0
бумеранг;0
буня;1
бургер;0
бурда;1
буря;0
буслай;1
бутерброд;0
бутылка;0
буфера;1
буферастая;1
бухаешь;1
бухарь;1
бухать;1
бухач;1
бухич;1
бухло;1
бухой;1
бушевать;0
бы;0
бывало;0
бывать;0
бывший;0
быдло;1
быдлобатлы;1
быдловство;1
быдлолизканный;1
быдлянка;1
быдлячий;1
былой;0
быстро;0
быстрожопагнал;1
быстроруков;1
быстрошлюз;1
быстрый;0
быть;0
бычара;1
бюджет;0
бяка;1
в;0
вагинович;1
вагиновод;1
вагинолизный;1
вагинтовкин;1
вагон;0
вадим;0
важно;0
важный;0
вакханалия;1
вакханка;1
валандай;1
валера;0
валерий;0
валить;0
валиться;0
валяться;0
вампир;0
вангуй;0
ванильный;0
ванна;0
ванная;0
ванькавстанька;1
ваня;0
варение;0
вареник;0
варзуха;1
вариант;0
варить;0
вася;0
вау;0
вафел;1
вафля;0
вафлёр;1
вахлай;1
вахлак;1
ваш;0
вброс;1
вбухать;1
вверх;0
ввести;0
вводить;0
вдарить;1
вдарю;1
вдвоём;0
вдохновение;0
вдрабадан;1
вдруг;0
ведро;0
ведроносальщик;1
ведущий;0
ведь;0
ведьма;1
ведьмак;1
везде;0
вездесрущий;1
везение;0
везти;0
везучий;0
век;0
веко;0
великий;0
великозасосывный;1
великолепный;0
велосипед;0
вена;0
венок;0
вентилятор;0
вера;0
верить;0
вериться;0
верно;0
вернуть;0
вернуться;0
верный;0
вероника;0
вероятно;0
вероятность;0
версия;0
вертолёт;0
вертопрах;1
вертухай;1
верхний;0
вес;0
веселие;0
веселить;0
веселиться;0
весело;0
весенний;0
весить;0
весна;0
вести;0
весы;0
весь;0
весьма;0
весёлый;0
ветер;0
ветрогонка;1
ветрянка;0
вечер;0
вечеринка;0
вечерний;0
вечером;0
вечно;0
вечность;0
вечный;0
вешать;0
вещий;0
вещь;0
вжопить;1
вжопиться;1
взаимно;0
взаимность;0
взаимный;0
взгляд;0
взглянуть;0
вздорная;1
вздорный;1
вздрачивание;1
вздрачивать;1
вздрачиваться;1
вздроч;1
вздрочить;1
вздрочиться;1
вздрючивание;1
вздрючивать;1
вздрючить;1
взломать;0
взорвать;0
взорваться;0
взрослеть;0
взрослый;0
взрыв;0
взрываться;0
взяточник;1
взяточница;1
взять;0
взяться;0
вид;0
видать;0
видео;0
видеть;0
видеться;0
видимо;0
видно;0
видный;0
видос;0
видосиськ;1
виза;0
визгопряха;1
вика;0
виктория;0
вилка;0
вина;0
вино;0
виноватый;0
винт;0
виртуальный;0
вирус;0
висеть;0
виски;0
вислозадая;1
виснуть;0
виталик;0
вить;0
вкладка;0
включать;0
включаться;0
включить;0
вкус;0
вкусно;0
вкусный;0
